ds,yhat,yhat_lower,yhat_upper
2023-01-01,7.181856860124004,3.120203361171576,11.163103383973521
2023-01-02,6.676397933949817,3.0424623546126375,10.647412660597245
2023-01-03,6.692110989570507,2.8472198436524607,10.595986682066847
2023-01-04,7.370490522172874,3.4322170504114315,11.33285765148223
2023-01-05,7.808232543021288,3.81356448613103,11.802852590865479
2023-01-06,8.537498475554392,4.5847329051217445,12.650514246252337
2023-01-07,8.387563120452914,4.184202341826066,12.367195247381211
2023-01-08,9.342168970614958,5.227932681651372,13.363657035553814
2023-01-09,8.737952670466097,5.074109952158105,12.953838140578025
2023-01-10,8.632246757339885,4.722198120995431,12.70702971384116
2023-01-11,9.16888357912418,5.26776923751182,12.979182394583484
2023-01-12,9.447285329829933,5.4903304115319225,13.529211862329797
2023-01-13,10.002661267512313,6.2941225732531025,13.963943954378783
2023-01-14,9.667581986692205,5.632256211475979,13.836168673943913
2023-01-15,10.429255139137133,6.2209328462077425,14.364298379676113
2023-01-16,9.627870122192357,5.7979482675024565,13.219277168321128
2023-01-17,9.324317318859878,5.606366404171779,13.215929443255716
2023-01-18,9.665910728946303,5.550093857959202,13.56443231898468
2023-01-19,9.755400019473273,5.771160276184831,13.574206778583916
2023-01-20,10.131094999027141,6.365946785959332,14.253673262950441
2023-01-21,9.628374197763254,5.601242947986281,13.556292912663269
2023-01-22,10.2369033465334,6.219175316337512,13.957283924240954
2023-01-23,9.298932923749582,5.516956938165579,13.33100494337855
2023-01-24,8.876981054923213,5.014290940086234,12.584004985576561
2023-01-25,9.119531497701596,5.223892298772453,13.088265727668125
2023-01-26,9.130033111774376,5.460304142176542,13.054066554028985
2023-01-27,9.447023892974938,5.27359008578572,13.339817590135011
2023-01-28,8.905651002012764,5.17727527824946,12.972268970854651
2023-01-29,9.494912014182603,5.546397198796579,13.71165595947031
2023-01-30,8.555985696809929,4.5445598364062345,12.508247765691616
2023-01-31,8.149957470633312,4.428188258667241,11.857899898436868
2023-02-01,8.423567927541459,4.137437504708387,12.227506772591727
2023-02-02,8.478269253157995,4.398314703553658,12.421583334182822
2023-02-03,8.850410938842655,4.951322124501093,13.061272691242696
2023-02-04,8.372824423358802,4.421774942258132,12.1876833045402
2023-02-05,9.032130057558145,5.024615885440181,13.090388238445371
2023-02-06,8.167132873136822,4.499434303403438,12.143243077977166
